Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Temperature,Humidity,MQ2,MQ135,Distance
2025-02-14 20:48:55.603776,0.24,0.49,0.96,-3.85,-0.06,0.72, NAN, NAN,143.68,3.18,318.65
2025-02-14 20:48:55.718802,0.24,0.48,0.96,-3.65,-0.10,0.82, NAN, NAN,143.68,3.20,321.15
2025-02-14 20:48:55.836042,0.25,0.48,0.96,-3.74,0.00,0.82, NAN, NAN,143.68,3.20,320.91
2025-02-14 20:48:55.946598,0.25,0.49,0.96,-3.96,0.16,0.82, NAN, NAN,143.68,3.20,321.13
2025-02-14 20:48:56.050876,0.25,0.48,0.96,-4.03,0.28,0.90, NAN, NAN,143.68,3.20,320.74
2025-02-14 20:48:56.180647,0.24,0.48,0.95,-3.81,-0.03,0.96, NAN, NAN,143.68,3.22,320.79
2025-02-14 20:48:56.303454,0.24,0.49,0.95,-3.84,0.02,0.97, NAN, NAN,143.68,3.22,321.11
2025-02-14 20:48:56.413709,0.24,0.49,0.96,-3.77,0.34,0.91, NAN, NAN,143.68,3.22,320.93
2025-02-14 20:48:56.538579,0.25,0.49,0.96,-4.09,0.20,0.99, NAN, NAN,143.68,3.22,320.88
2025-02-14 20:48:56.665546,0.24,0.48,0.96,-3.84,0.33,0.81, NAN, NAN,145.00,3.22,320.88
2025-02-14 20:48:56.792432,0.25,0.49,0.95,-3.66,0.00,0.76, NAN, NAN,143.68,3.22,320.96
2025-02-14 20:48:56.914036,0.25,0.48,0.96,-3.76,0.12,0.90, NAN, NAN,143.68,3.23,320.86
2025-02-14 20:48:57.038438,0.24,0.49,0.96,-3.87,0.26,0.85, NAN, NAN,145.00,3.23,320.86
2025-02-14 20:48:57.163381,0.24,0.49,0.96,-3.79,0.27,0.79, NAN, NAN,145.00,3.23,320.96
2025-02-14 20:48:57.287288,0.24,0.48,0.96,-3.82,0.15,0.79, NAN, NAN,145.00,3.23,320.82
2025-02-14 20:48:57.411345,0.25,0.49,0.96,-3.57,0.27,0.96, NAN, NAN,145.00,3.23,320.84
2025-02-14 20:48:57.621162,0.24,0.49,0.96,-3.78,0.30,0.86, NAN, NAN,145.00,3.23,320.94
2025-02-14 20:48:57.731976,0.24,0.49,0.96,-4.00,0.15,0.92, NAN, NAN,145.00,3.23,320.93
2025-02-14 20:48:57.843176,0.24,0.48,0.96,-3.76,0.44,0.85, NAN, NAN,145.00,3.25,321.13
2025-02-14 20:48:57.954552,0.25,0.48,0.96,-3.57,0.14,0.61, NAN, NAN,145.00,3.25,320.89
2025-02-14 20:48:58.091807,0.24,0.48,0.96,-3.94,-0.15,0.74, NAN, NAN,145.00,3.25,320.81
2025-02-14 20:48:58.211270,0.25,0.49,0.97,-3.77,0.23,0.94, NAN, NAN,145.00,3.25,320.82
2025-02-14 20:48:58.328536,0.25,0.48,0.96,-3.87,0.14,0.76, NAN, NAN,145.00,3.25,320.72
2025-02-14 20:48:58.466787,0.25,0.48,0.96,-4.01,-0.11,0.88, NAN, NAN,145.00,3.25,320.89
2025-02-14 20:48:58.578355,0.25,0.48,0.96,-3.62,-0.12,0.97, NAN, NAN,145.00,3.25,320.77
2025-02-14 20:48:58.703146,0.24,0.48,0.96,-3.80,-0.05,1.00, NAN, NAN,146.34,3.27,321.08
2025-02-14 20:48:58.843537,0.24,0.48,0.96,-3.73,0.09,0.93, NAN, NAN,145.00,3.27,320.81
2025-02-14 20:48:58.953499,0.25,0.48,0.96,-3.92,0.32,0.70, NAN, NAN,145.00,3.27,320.81
2025-02-14 20:48:59.076323,0.24,0.48,0.96,-3.87,0.18,0.74, NAN, NAN,145.00,3.27,320.91
2025-02-14 20:48:59.216535,0.25,0.48,0.96,-3.62,-0.18,0.90, NAN, NAN,145.00,3.27,320.79
2025-02-14 20:48:59.337595,0.24,0.48,0.96,-3.53,0.15,0.81, NAN, NAN,146.34,3.29,320.79
2025-02-14 20:48:59.451229,0.25,0.48,0.96,-3.78,0.44,0.92, NAN, NAN,146.34,3.29,320.88
2025-02-14 20:48:59.660436,0.25,0.48,0.96,-3.96,0.11,0.80, NAN, NAN,146.34,3.27,320.54
2025-02-14 20:48:59.770449,0.25,0.49,0.96,-3.82,0.13,0.73, NAN, NAN,146.34,3.29,320.48
2025-02-14 20:48:59.880028,0.25,0.49,0.96,-3.92,0.07,1.02, NAN, NAN,146.34,3.29,320.60
2025-02-14 20:48:59.994036,0.25,0.49,0.96,-3.79,0.15,0.91, NAN, NAN,146.34,3.29,320.72
2025-02-14 20:49:00.118764,0.25,0.48,0.97,-3.72,0.22,0.77, NAN, NAN,146.34,3.30,320.55
2025-02-14 20:49:00.242268,0.25,0.48,0.96,-3.78,0.02,0.97, NAN, NAN,146.34,3.30,320.79
