Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Temperature,Humidity,MQ2,MQ135,Distance
2025-02-14 20:53:16.281520,0.17,0.25,1.08,-3.52,-2.21,0.77,32.30,67.00,202.39,6.53,321.32
2025-02-14 20:53:16.411479,0.17,0.26,1.07,-4.67,0.05,0.82,32.30,67.00,202.39,6.55,321.32
2025-02-14 20:53:16.551592,0.18,0.26,1.08,-3.64,0.21,0.74,32.30,67.00,202.39,6.55,322.29
2025-02-14 20:53:16.676420,0.18,0.26,1.08,-4.06,0.21,0.82,32.30,67.00,202.39,6.55,322.42
2025-02-14 20:53:16.796451,0.18,0.25,1.07,-3.73,0.24,0.73,32.30,67.00,202.39,6.55,322.34
2025-02-14 20:53:16.920829,0.18,0.25,1.07,-3.79,0.31,0.95,32.30,67.00,202.39,6.55,322.35
2025-02-14 20:53:17.050482,0.18,0.26,1.08,-3.79,-0.01,0.95,32.30,67.00,204.84,6.55,321.37
2025-02-14 20:53:17.172180,0.18,0.25,1.07,-3.62,-0.02,0.79,32.30,67.00,202.39,6.55,321.35
2025-02-14 20:53:17.294329,0.17,0.25,1.07,-3.61,-0.17,0.68,32.30,67.00,202.39,6.55,321.37
2025-02-14 20:53:17.426122,0.17,0.26,1.07,-4.11,0.08,0.89,32.30,67.00,202.39,6.55,321.44
2025-02-14 20:53:17.544991,0.17,0.26,1.08,-3.78,0.08,0.83,32.30,67.00,202.39,6.55,321.50
2025-02-14 20:53:17.670057,0.17,0.26,1.08,-3.80,0.27,0.79,32.30,67.00,202.39,6.55,321.28
2025-02-14 20:53:17.794033,0.18,0.25,1.07,-3.82,0.16,0.76,32.30,67.00,202.39,6.58,321.25
2025-02-14 20:53:17.918794,0.17,0.26,1.06,-3.33,0.08,0.84,32.30,67.00,202.39,6.55,321.35
2025-02-14 20:53:18.043883,0.18,0.25,1.07,-4.11,0.03,0.66,32.30,67.00,202.39,6.55,321.40
2025-02-14 20:53:18.175475,0.18,0.26,1.07,-3.72,0.09,0.73,32.30,67.00,202.39,6.58,321.39
2025-02-14 20:53:18.293845,0.17,0.26,1.06,-3.83,0.13,0.72,32.30,67.00,202.39,6.58,321.33
2025-02-14 20:53:18.422987,0.18,0.26,1.08,-3.94,-0.11,0.86,32.30,67.00,202.39,6.55,321.35
